Nom;Prénom;Âge;Taille;Poids;Nationalité;Poste;Club;Contrat;Statut JIFF
IMMELMAN;Henry;24;189;96;Afrique du sud;Arrière;Montpellier;Pro;NON JIFF
SAURS;Valentin;25;182;82;France;Ailier;Agen;Pro;JIFF Formé
VAN DYK;Maks;28;186;118;Afrique du sud;Pilier;Toulouse;Pro;NON JIFF
BULIRUARUA;Rico;23;186;106;Fidji;Arrière;Brive;Pro;JIFF
BRENNAN;Daniel;21;192;132;Irlande;Pilier;Montpellier;Espoir;JIFF
MOUSSET;Luc;25;180;115;France;Pilier;Bayonne;Pro;JIFF
BOUDEHENT;Pierre;22;196;105;France;Ailier;La Rochelle;Espoir;JIFF
HALL;James;24;172;84;Afrique du sud;Mêlée;Paris;Pro;JIFF
DEVISME;Vivien;27;175;112;France;Pilier;Lyon;Pro;JIFF
CALLES;Ignacio;24;187;116;Argentine;Pilier;Pau;Pro;JIFF Formé
MULLER;Axel;26;186;94;Argentine;Ailier;Brive;Pro;NON JIFF
JEGERLEHNER;Jessy;22;190;97;France;3ème ligne;Agen;Espoir;JIFF
RADRADRA;Semi;27;188;102;Fidji;Centre;Bordeaux;Pro;NON JIFF
KORNATH;Kévin;23;194;110;France;3ème ligne;Montpellier;Pro;JIFF
TEDDER;Tristan;23;180;80;Afrique du sud;Ouverture;Toulouse;Espoir;JIFF Formé
MARAIS;Retief;24;194;109;Afrique du sud;3ème ligne;Brive;Pro;JIFF Formé
ZAFRA;Andrés;23;197;116;Colombie;2ème ligne;Agen;Pro;JIFF
KAABÈCHE;Hamza;23;188;118;France;Pilier;Lyon;Pro;JIFF Formé
HAOUAS;Mohamed;25;185;127;France;Pilier;Montpellier;Pro;JIFF Formé
MOTOC;Adrian;23;197;108;Roumanie;2ème ligne;Agen;Pro;JIFF
SETIANO;Emerick;23;183;114;France;Pilier;Toulon;Espoir;JIFF Formé
BEHEREGARAY;Yohan;23;180;102;France;Talonneur;Clermont;Pro;JIFF Formé
VAOTOA;Christopher;23;185;138;France;Pilier;Paris;Pro;JIFF
BOUTHIER;Anthony;27;182;86;France;Arrière;Montpellier;Pro;JIFF
ANGA'AELANGI;Sione;31;180;106;Nouvelle-Zélande;Talonneur;Paris;Pro;NON JIFF
MAUVAKA;Péato;23;184;115;France;Talonneur;Toulouse;Espoir;JIFF
TAFILI;Paulo;23;183;132;France;Pilier;Toulouse;Pro;JIFF Formé
THOMPSON-STRINGER;Hayden;25;190;119;Angleterre;Pilier;Brive;Pro;NON JIFF
MUSCARDITZ;Peyo;24;174;88;France;Centre;Bayonne;Pro;JIFF Formé
BARASSI;Pierre-Louis;21;188;93;France;Centre;Lyon;Espoir;JIFF
CRETIN;Dylan;22;195;101;France;3ème ligne;Lyon;Espoir;JIFF
GIUDICELLI;Vincent;22;183;100;France;Talonneur;Montpellier;Pro;JIFF Formé
SEGONDS;Joris;22;180;91;France;Ouverture;Paris;Espoir;JIFF
GIORGADZE;Otar;23;193;108;Géorgie;3ème ligne;Brive;Pro;JIFF
BAUBIGNY;Teddy;21;187;111;France;Talonneur;Racing 92;Espoir;JIFF
FA'ASO'O;So'otala;25;194;127;Samoa;3ème ligne;Brive;Pro;NON JIFF
MOALA;George;29;187;104;Tonga;Centre;Clermont;Pro;NON JIFF
ARNOLD;Rory;29;208;120;Australie;2ème ligne;Toulouse;Pro;NON JIFF
TIMANI;Lopeti;29;193;124;Tonga;3ème ligne;La Rochelle;Pro;NON JIFF
NAIVALU;Sefa;28;186;101;Fidji;Ailier;Paris;Pro;NON JIFF
LATU;Tolu;26;180;113;Tonga;Talonneur;Paris;Pro;NON JIFF
MOYANO;Ramiro;29;180;86;Argentine;Arrière;Toulon;Pro;NON JIFF
RUAUD;Julien;22;196;116;France;3ème ligne;Clermont;Espoir;JIFF
MAPOE;Lionel;31;183;95;Afrique du sud;Centre;Paris;Pro;NON JIFF
MAPOE;Lionel;31;183;95;Afrique du sud;Centre;Paris;Pro;NON JIFF
COMBRINCK;Ruan;29;183;97;Afrique du sud;Arrière;Paris;Pro;NON JIFF
HINO;Takeshi;30;172;100;Japon;Talonneur;Toulouse;Pro;NON JIFF
TOLOFUA;Selevasio;22;186;115;France;3ème ligne;Toulouse;Espoir;JIFF
NTAMACK;Romain;20;186;84;France;Ouverture;Toulouse;Espoir;JIFF
VERHAEGHE;Florian;22;202;108;France;2ème ligne;Toulouse;Espoir;JIFF
KOLBE;Cheslin;26;171;80;Afrique du sud;Ailier;Toulouse;Pro;NON JIFF
UHILA;Loni;30;182;125;Tonga;Pilier;Clermont;Pro;NON JIFF
FRANCOZ;Charlie;21;195;108;France;3ème ligne;Paris;Espoir;JIFF
ALAINU'UESE;Brian;25;202;135;Samoa;2ème ligne;Toulon;Pro;NON JIFF
VERDU;Hugo;23;176;82;France;Mêlée;Agen;Pro;JIFF
BOSCH;Facundo;28;180;100;Argentine;Talonneur;La Rochelle;Pro;NON JIFF
HAMEL;Issam;22;180;110;France;Talonneur;Racing 92;Espoir;JIFF
OOSTHUIZEN;Etienne;27;198;120;Afrique du sud;2ème ligne;Lyon;Pro;NON JIFF
GIBERT;Antoine;22;177;76;France;Mêlée;Racing 92;Pro;JIFF Formé
JALIBERT;Matthieu;21;180;79;France;Ouverture;Bordeaux;Espoir;JIFF
GIMBERT;Jules;21;170;67;France;Mêlée;Bordeaux;Espoir;JIFF
LAMOTHE;Maxime;21;184;109;France;Talonneur;Bayonne;Espoir;JIFF
CARBONEL;Louis;21;180;85;France;Ouverture;Toulon;Espoir;JIFF
ALLDRITT;Greg;22;191;115;France;3ème ligne;La Rochelle;Pro;JIFF
BOURGARIT;Pierre;22;184;105;France;Talonneur;La Rochelle;Pro;JIFF
EZEALA;Samuel;20;187;94;Espagne;Ailier;Clermont;Espoir;JIFF
CORATO;Nicolas;22;184;120;France;Pilier;Pau;Espoir;JIFF
DE CONINCK;Lucas;24;194;110;France;3ème ligne;Montpellier;Pro;JIFF Formé
WOKI;Cameron;21;196;103;France;3ème ligne;Bordeaux;Espoir;JIFF
CORMENIER;Swan;24;178;117;France;Pilier;Bayonne;Pro;JIFF
WILSON;Callum;29;182;95;Angleterre;Centre;Bayonne;Pro;NON JIFF
BERDEU;Léo;21;195;95;France;Ouverture;Agen;Espoir;JIFF
ORDAS;Manuel;21;186;83;France;Ouverture;Bayonne;Espoir;JIFF
DARMON;Thomas;21;181;89;France;Ouverture;Montpellier;Espoir;JIFF
BITUNIYATA;Setareki;24;190;89;Fidji;Ailier;Brive;Pro;NON JIFF
TANGA-MANGENE;Yoan;23;185;108;France;3ème ligne;Racing 92;Pro;JIFF
COLOMBE;Georges-Henri;21;193;133;France;Pilier;Racing 92;Espoir;JIFF
KOLINGAR;Hassane;21;186;116;France;Pilier;Racing 92;Pro;JIFF Formé
N'GANDEBE;Gabriel;22;174;75;Cameroun;Ailier;Montpellier;Pro;JIFF
TCHEISHVILI;Ushangi;22;178;103;Géorgie;Pilier;Montpellier;Espoir;JIFF
HIGGINBOTHAM;Scott;33;195;110;Australie;3ème ligne;Bordeaux;Pro;NON JIFF
GORIN;André;32;192;111;Roumanie;3ème ligne;Bayonne;Pro;NON JIFF
CORDIN;Gervais;21;172;73;France;Arrière;Toulon;Espoir;JIFF
GÉRACI;Kilian;20;200;106;France;2ème ligne;Lyon;Espoir;JIFF
VAKA;Sam;27;187;98;Nouvelle-Zélande;Centre;Agen;Pro;NON JIFF
LAPORTE;Clément;22;181;87;France;Arrière;Lyon;Espoir;JIFF
